MaximumInterDelay_s,Inter_DCP_OperationCost_USD,Inter_UserPayment_USD,MaximumBatchDelay_h,Batch_DCP_OperationCost_USD,Batch_UserPayment_USD
0.05,1078.56514499148,13.41603,1,977.13245428595,34.220883375
0.1,945.987908106228,47.1787972083333,2,957.832709811326,35.649723375
0.15,946.007004272894,47.197893375,4,946.007004272894,47.197893375
0.2,946.007004272894,47.197893375,6,946.007004272894,47.197893375
0.25,946.007004272894,47.197893375,NaN,NaN,NaN
