InterCoefficientFactor,Inter_DCP_OperationCost_USD,Inter_UserPayment_USD,BatchCoefficientFactor,Batch_DCP_OperationCost_USD,Batch_UserPayment_USD
0.8,939.059651549894,42.8234931,0.8,943.411602272894,44.602491375
0.9,942.584915935394,43.7758050375,0.9,944.709303272894,45.900192375
1,946.007004272894,47.197893375,1,946.007004272894,47.197893375
1.1,949.429092610394,50.6199817125,1.1,947.304705272894,48.495594375
1.2,952.851180947894,54.04207005,1.2,948.317965853822,46.019019375
